"Fact","Fact Note","Aibonito Municipio, Puerto Rico","Value Note for Aibonito Municipio, Puerto Rico"
"Population estimates, July 1, 2019,  (V2019)","","22,108",""
"Population estimates base, April 1, 2010,  (V2019)","","25,900",""
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","","-14.6%",""
"Population, Census, April 1, 2010","","25,900",""
"Persons under 5 years, percent","","3.9%",""
"Persons under 18 years, percent","","17.8%",""
"Persons 65 years and over, percent","","21.9%",""
"Female persons, percent","","52.1%",""
"White alone, percent","","75.0%",""
"Black or African American alone, percent","(a)","15.0%",""
"American Indian and Alaska Native alone, percent","(a)","0.1%",""
"Asian alone, percent","(a)","0.1%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.0%",""
"Two or More Races, percent","","0.8%",""
"Hispanic or Latino, percent","(b)","99.6%",""
"White alone, not Hispanic or Latino, percent","","0.2%",""
"Veterans, 2015-2019","","332",""
"Foreign born persons, percent, 2015-2019","","0.9%",""
"Housing units,  July 1, 2019,  (V2019)","","X",""
"Owner-occupied housing unit rate, 2015-2019","","78.1%",""
"Median value of owner-occupied housing units, 2015-2019","","$112,600",""
"Median selected monthly owner costs -with a mortgage, 2015-2019","","$802",""
"Median selected monthly owner costs -without a mortgage, 2015-2019","","$137",""
"Median gross rent, 2015-2019","","$470",""
"Building permits, 2019","","X",""
"Households, 2015-2019","","8,592",""
"Persons per household, 2015-2019","","2.67",""
"Living in same house 1 year ago, percent of persons age 1 year+, 2015-2019","","94.3%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2015-2019","","95.3%",""
"Households with a computer, percent, 2015-2019","","51.7%",""
"Households with a broadband Internet subscription, percent, 2015-2019","","68.1%",""
"High school graduate or higher, percent of persons age 25 years+, 2015-2019","","78.1%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019","","21.8%",""
"With a disability, under age 65 years, percent, 2015-2019","","20.9%",""
"Persons  without health insurance, under age 65 years, percent","","4.3%",""
"In civilian labor force, total, percent of population age 16 years+, 2015-2019","","38.5%",""
"In civilian labor force, female, percent of population age 16 years+, 2015-2019","","34.0%",""
"Total accommodation and food services sales, 2012 ($1,000)","(c)","6,044",""
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","(c)","41,364",""
"Total manufacturers shipments, 2012 ($1,000)","(c)","D",""
"Total merchant wholesaler sales, 2012 ($1,000)","(c)","6,824",""
"Total retail sales, 2012 ($1,000)","(c)","89,579",""
"Total retail sales per capita, 2012","(c)","$3,519",""
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019","","25.1",""
"Median household income (in 2019 dollars), 2015-2019","","$20,521",""
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","","$11,363",""
"Persons in poverty, percent","","43.6%",""
"Total employer establishments, 2018","","271",""
"Total employment, 2018","","3,274",""
"Total annual payroll, 2018 ($1,000)","","75,442",""
"Total employment, percent change, 2017-2018","","-5.5%",""
"Total nonemployer establishments, 2018","","X",""
"All firms, 2012","","X",""
"Men-owned firms, 2012","","X",""
"Women-owned firms, 2012","","X",""
"Minority-owned firms, 2012","","X",""
"Nonminority-owned firms, 2012","","X",""
"Veteran-owned firms, 2012","","X",""
"Nonveteran-owned firms, 2012","","X",""
"Population per square mile, 2010","","827.2",""
"Land area in square miles, 2010","","31.31",""
"FIPS Code","","""72009""",""
"","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","",""
"","","",""
"Value Notes","","",""
"None","","",""
"","","",""
"Fact Notes","","",""
"(a)","Includes persons reporting only one race","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","",""
"","","",""
"Value Flags","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","",""
"D","Suppressed to avoid disclosure of confidential information","",""
"F","Fewer than 25 firms","",""
"FN","Footnote on this item in place of data","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","",""
"NA","Not available","",""
"S","Suppressed; does not meet publication standards","",""
"X","Not applicable","",""
"Z","Value greater than zero but less than half unit of measure shown","",""
